,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epoch_loss
0,0.49444444444444446,0.42363636363636364,0.314,0.215,0.181,0.172,0.326,0.264,0.174,0.506,2.022735002617041
1,0.29444444444444445,0.22090909090909092,0.194,0.162,0.46,0.422,0.395,0.306,0.416,0.39,1.993299842322866
2,0.3377777777777778,0.3018181818181818,0.179,0.234,0.248,0.124,0.483,0.288,0.49,0.536,1.9771937362104655
3,0.48333333333333334,0.22,0.208,0.336,0.369,0.158,0.473,0.349,0.215,0.48,1.9786831198732058
4,0.37444444444444447,0.26545454545454544,0.232,0.256,0.436,0.198,0.271,0.357,0.412,0.494,1.971523681230843
5,0.25555555555555554,0.4072727272727273,0.241,0.19,0.281,0.405,0.397,0.504,0.307,0.169,1.9713558624734482
6,0.2833333333333333,0.31,0.245,0.288,0.336,0.345,0.321,0.345,0.447,0.46,1.9702823030352592
7,0.34555555555555556,0.23,0.116,0.091,0.4,0.236,0.658,0.256,0.59,0.22,1.972271228412787
8,0.31666666666666665,0.39181818181818184,0.178,0.271,0.551,0.226,0.41,0.351,0.37,0.196,1.9656970930422346
9,0.3388888888888889,0.3372727272727273,0.261,0.169,0.41,0.422,0.34,0.302,0.365,0.387,1.978257435416182
10,0.20777777777777778,0.41909090909090907,0.302,0.136,0.218,0.4,0.372,0.466,0.365,0.268,1.9672705430115263
11,0.31777777777777777,0.33636363636363636,0.325,0.137,0.346,0.216,0.62,0.164,0.386,0.394,1.965331662029028
12,0.4488888888888889,0.37545454545454543,0.431,0.136,0.219,0.224,0.472,0.346,0.301,0.3,1.9662733099212248
13,0.21444444444444444,0.3981818181818182,0.377,0.244,0.177,0.257,0.502,0.379,0.255,0.434,1.965810390546918
14,0.41444444444444445,0.25,0.189,0.245,0.287,0.318,0.498,0.435,0.354,0.337,1.9641929528365532
15,0.3611111111111111,0.5281818181818182,0.268,0.333,0.27,0.196,0.507,0.226,0.251,0.331,1.9626165663599968
16,0.5755555555555556,0.2590909090909091,0.191,0.23,0.429,0.098,0.477,0.313,0.32,0.412,1.9652882622530063
17,0.37777777777777777,0.4809090909090909,0.121,0.269,0.299,0.396,0.462,0.246,0.383,0.254,1.9675713897446792
18,0.38222222222222224,0.43,0.19,0.178,0.416,0.213,0.553,0.261,0.345,0.363,1.963463448410233
19,0.16555555555555557,0.38181818181818183,0.328,0.267,0.202,0.324,0.504,0.373,0.457,0.299,1.9573194366718332
20,0.24,0.3490909090909091,0.196,0.322,0.459,0.402,0.3,0.277,0.37,0.43,1.9648607667585214
21,0.46111111111111114,0.29,0.207,0.341,0.304,0.212,0.532,0.386,0.26,0.423,1.9573392266531786
22,0.3522222222222222,0.44636363636363635,0.21,0.185,0.429,0.185,0.434,0.315,0.523,0.158,1.9598518419439594
23,0.35888888888888887,0.21454545454545454,0.327,0.353,0.359,0.385,0.387,0.182,0.435,0.311,1.9565054528812567
24,0.23444444444444446,0.25272727272727274,0.153,0.305,0.208,0.46,0.448,0.296,0.504,0.436,1.9591158427745103
25,0.5344444444444445,0.31,0.201,0.081,0.235,0.191,0.567,0.326,0.334,0.459,1.9623392010703682
26,0.41333333333333333,0.32181818181818184,0.316,0.227,0.173,0.212,0.551,0.326,0.465,0.336,1.9555536718244353
27,0.36,0.3718181818181818,0.206,0.29,0.335,0.241,0.537,0.324,0.397,0.318,1.9565272725125153
28,0.5022222222222222,0.4490909090909091,0.152,0.351,0.16,0.14,0.596,0.437,0.179,0.241,1.9558046001220744
29,0.16777777777777778,0.22363636363636363,0.228,0.227,0.225,0.35,0.502,0.386,0.421,0.551,1.9560224436124165
30,0.3888888888888889,0.2918181818181818,0.271,0.202,0.297,0.276,0.617,0.323,0.453,0.275,1.9534177446911731
31,0.3477777777777778,0.39545454545454545,0.268,0.189,0.331,0.464,0.363,0.265,0.379,0.335,1.960470186933875
32,0.2877777777777778,0.2727272727272727,0.206,0.135,0.502,0.253,0.318,0.318,0.48,0.55,1.9553010462671518
33,0.5222222222222223,0.39636363636363636,0.134,0.291,0.323,0.215,0.375,0.421,0.347,0.332,1.9571637620081503
34,0.18333333333333332,0.28909090909090907,0.348,0.27,0.181,0.234,0.556,0.475,0.527,0.273,1.9532129184901714
35,0.30444444444444446,0.2827272727272727,0.157,0.156,0.188,0.448,0.401,0.512,0.43,0.391,1.9513253741661707
36,0.27111111111111114,0.3490909090909091,0.161,0.263,0.275,0.399,0.593,0.176,0.44,0.359,1.9597969332685072
37,0.5222222222222223,0.4627272727272727,0.293,0.24,0.339,0.299,0.396,0.339,0.224,0.109,1.9542629379232725
38,0.3244444444444444,0.35454545454545455,0.262,0.198,0.481,0.239,0.463,0.383,0.446,0.244,1.9616207311650118
39,0.24222222222222223,0.47545454545454546,0.198,0.442,0.199,0.271,0.468,0.223,0.452,0.297,1.962164349178473
40,0.3622222222222222,0.3290909090909091,0.185,0.156,0.412,0.347,0.414,0.449,0.424,0.291,1.9523805228372415
41,0.5222222222222223,0.4163636363636364,0.335,0.086,0.196,0.421,0.431,0.256,0.249,0.335,1.9518299707050124
42,0.4955555555555556,0.18272727272727274,0.267,0.359,0.3,0.164,0.443,0.309,0.364,0.464,1.955335038498044
43,0.5122222222222222,0.28,0.274,0.433,0.231,0.204,0.401,0.392,0.248,0.319,1.9586283517405392
44,0.5233333333333333,0.4590909090909091,0.273,0.322,0.265,0.255,0.344,0.373,0.151,0.357,1.9562822927484909
45,0.51,0.29818181818181816,0.249,0.086,0.505,0.287,0.385,0.32,0.113,0.43,1.9604656740476687
46,0.47,0.24818181818181817,0.196,0.315,0.45,0.279,0.349,0.351,0.184,0.467,1.951127429654201
47,0.43,0.30272727272727273,0.3,0.196,0.356,0.224,0.432,0.338,0.311,0.522,1.9556913832873106
48,0.5433333333333333,0.43454545454545457,0.357,0.172,0.149,0.232,0.516,0.311,0.11,0.419,1.9546242175251245
49,0.42444444444444446,0.3181818181818182,0.236,0.296,0.382,0.369,0.307,0.29,0.222,0.536,1.9524174131800731
50,0.16333333333333333,0.3336363636363636,0.407,0.273,0.269,0.187,0.42,0.359,0.485,0.417,1.9545718324134747
51,0.3488888888888889,0.4109090909090909,0.293,0.27,0.18,0.37,0.48,0.308,0.348,0.287,1.9558041818241279
52,0.36,0.6372727272727273,0.172,0.309,0.336,0.295,0.341,0.246,0.333,0.129,1.9572489641159774
53,0.3288888888888889,0.46545454545454545,0.271,0.095,0.221,0.233,0.527,0.413,0.495,0.309,1.9560257909099261
54,0.25666666666666665,0.2990909090909091,0.315,0.303,0.176,0.171,0.404,0.398,0.537,0.481,1.945451839109262
55,0.4177777777777778,0.33454545454545453,0.364,0.353,0.297,0.158,0.538,0.216,0.287,0.449,1.950000665307045
56,0.3511111111111111,0.4118181818181818,0.433,0.223,0.199,0.347,0.403,0.308,0.403,0.262,1.948022949506839
57,0.24888888888888888,0.5781818181818181,0.263,0.157,0.314,0.265,0.449,0.285,0.492,0.168,1.956557356228431
58,0.27555555555555555,0.3327272727272727,0.389,0.212,0.276,0.323,0.491,0.25,0.269,0.501,1.9534938677599032
59,0.31333333333333335,0.2881818181818182,0.139,0.206,0.363,0.385,0.442,0.399,0.457,0.443,1.9533959450324376
60,0.2588888888888889,0.42272727272727273,0.218,0.243,0.394,0.151,0.459,0.404,0.534,0.262,1.954820405781269
61,0.29777777777777775,0.3409090909090909,0.292,0.125,0.355,0.423,0.417,0.265,0.357,0.445,1.9544390584280094
62,0.55,0.3981818181818182,0.077,0.274,0.285,0.257,0.466,0.455,0.219,0.3,1.9537057334731023
63,0.2588888888888889,0.3845454545454545,0.228,0.15,0.304,0.272,0.337,0.453,0.506,0.419,1.9538306989123424
64,0.38333333333333336,0.32636363636363636,0.213,0.189,0.304,0.342,0.414,0.346,0.413,0.452,1.9530893883953493
65,0.23,0.40545454545454546,0.259,0.133,0.431,0.297,0.439,0.392,0.348,0.388,1.9496273590127626
66,0.29888888888888887,0.41,0.388,0.2,0.355,0.398,0.378,0.251,0.347,0.303,1.950732610349854
67,0.39444444444444443,0.27636363636363637,0.281,0.383,0.319,0.206,0.304,0.446,0.317,0.474,1.9549197389731805
68,0.38333333333333336,0.37636363636363634,0.295,0.26,0.345,0.318,0.55,0.19,0.423,0.261,1.951126078163584
69,0.2877777777777778,0.24181818181818182,0.26,0.337,0.348,0.306,0.224,0.467,0.574,0.24,1.9542482835749786
70,0.4222222222222222,0.22181818181818183,0.373,0.102,0.212,0.281,0.546,0.267,0.184,0.631,1.9583349902580183
71,0.29444444444444445,0.2672727272727273,0.383,0.252,0.228,0.316,0.422,0.353,0.467,0.454,1.9555160264571507
72,0.4177777777777778,0.3490909090909091,0.263,0.211,0.321,0.259,0.438,0.493,0.393,0.208,1.9504705925385157
73,0.31555555555555553,0.2318181818181818,0.124,0.209,0.335,0.292,0.53,0.33,0.394,0.523,1.9536364102015893
74,0.3611111111111111,0.2818181818181818,0.25,0.369,0.301,0.199,0.383,0.332,0.541,0.357,1.9527738730559747
75,0.2866666666666667,0.2736363636363636,0.273,0.229,0.408,0.209,0.351,0.479,0.446,0.459,1.9555998777424295
76,0.36,0.3209090909090909,0.316,0.121,0.275,0.364,0.409,0.292,0.554,0.378,1.9502277633572618
77,0.3011111111111111,0.35818181818181816,0.412,0.171,0.137,0.231,0.572,0.424,0.338,0.359,1.956653574173649
78,0.3244444444444444,0.3618181818181818,0.24,0.237,0.321,0.199,0.463,0.479,0.407,0.422,1.9505557594845693
79,0.5077777777777778,0.35,0.201,0.2,0.271,0.21,0.547,0.449,0.191,0.412,1.9563016369342805
80,0.3655555555555556,0.28545454545454546,0.289,0.134,0.392,0.302,0.558,0.292,0.284,0.419,1.9532253231455883
81,0.38333333333333336,0.3181818181818182,0.187,0.198,0.21,0.232,0.465,0.417,0.435,0.466,1.9568595158060391
82,0.3522222222222222,0.3690909090909091,0.233,0.366,0.266,0.152,0.605,0.356,0.452,0.231,1.9532148136397203
83,0.3,0.25545454545454543,0.285,0.194,0.39,0.351,0.332,0.36,0.424,0.458,1.9582752424677212
84,0.4222222222222222,0.4709090909090909,0.204,0.106,0.372,0.392,0.534,0.319,0.213,0.301,1.9501791094690561
85,0.5455555555555556,0.38727272727272727,0.185,0.466,0.196,0.059,0.523,0.329,0.238,0.326,1.952048177043597
86,0.4222222222222222,0.40636363636363637,0.305,0.116,0.279,0.395,0.455,0.335,0.366,0.221,1.951020757580797
87,0.3977777777777778,0.40454545454545454,0.186,0.18,0.522,0.284,0.306,0.32,0.259,0.369,1.9488215499122938
88,0.2811111111111111,0.44181818181818183,0.253,0.211,0.342,0.263,0.294,0.272,0.31,0.584,1.9567746107379596
89,0.37,0.45545454545454545,0.336,0.342,0.287,0.308,0.417,0.293,0.26,0.136,1.9508394030034542
90,0.2388888888888889,0.4481818181818182,0.185,0.151,0.437,0.363,0.491,0.379,0.31,0.245,1.9552923539876939
91,0.3788888888888889,0.59,0.142,0.258,0.389,0.163,0.482,0.409,0.256,0.168,1.9529658064196507
92,0.3622222222222222,0.3245454545454545,0.237,0.296,0.232,0.297,0.416,0.241,0.358,0.559,1.9513284860004982
93,0.5033333333333333,0.3718181818181818,0.215,0.26,0.223,0.23,0.62,0.292,0.265,0.314,1.9590495520979165
94,0.17888888888888888,0.4263636363636364,0.218,0.218,0.478,0.342,0.468,0.314,0.336,0.327,1.9558969565803805
95,0.2911111111111111,0.41454545454545455,0.189,0.386,0.214,0.164,0.538,0.481,0.384,0.275,1.9539429332812628
96,0.24888888888888888,0.24181818181818182,0.236,0.395,0.33,0.243,0.418,0.253,0.471,0.503,1.9531936189333599
97,0.4477777777777778,0.3509090909090909,0.259,0.228,0.238,0.375,0.513,0.384,0.223,0.345,1.9509945490981142
98,0.2877777777777778,0.2681818181818182,0.204,0.248,0.335,0.159,0.6,0.434,0.391,0.474,1.9535639355580012
99,0.05333333333333334,0.38636363636363635,0.443,0.087,0.244,0.256,0.593,0.275,0.473,0.372,1.9488874317854643
